epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,212.682,0.74484,0.45789,0.88438,0.89119,0.84848,0.88572,0.64173,1.03845,0.76648,1.0676,0.000218,0.000218,0.000218
92,214.862,0.78028,0.46399,0.89429,0.88619,0.85281,0.88494,0.64438,1.04617,0.78115,1.06612,0.0001982,0.0001982,0.0001982
93,217.018,0.73762,0.4421,0.87853,0.89142,0.85714,0.8863,0.64384,1.03508,0.77603,1.06461,0.0001784,0.0001784,0.0001784
94,219.197,0.73273,0.44423,0.89031,0.88818,0.85965,0.8859,0.644,1.02929,0.77749,1.06732,0.0001586,0.0001586,0.0001586
95,221.345,0.73147,0.43363,0.87221,0.88703,0.84416,0.88674,0.64071,1.03067,0.79521,1.07017,0.0001388,0.0001388,0.0001388
96,223.529,0.73388,0.42953,0.88693,0.89476,0.84654,0.88657,0.63812,1.03373,0.81145,1.07296,0.000119,0.000119,0.000119
97,225.705,0.71596,0.42721,0.8803,0.89183,0.8566,0.88762,0.63938,1.03264,0.80405,1.07276,9.92e-05,9.92e-05,9.92e-05
98,227.886,0.71469,0.42766,0.87583,0.89542,0.85714,0.89276,0.64485,1.02696,0.77321,1.06998,7.94e-05,7.94e-05,7.94e-05
99,230.053,0.73089,0.428,0.88347,0.89149,0.85357,0.89321,0.6464,1.02403,0.76917,1.06733,5.96e-05,5.96e-05,5.96e-05
100,232.5,0.72436,0.42172,0.86478,0.88698,0.84935,0.89398,0.64853,1.02079,0.7639,1.06563,3.98e-05,3.98e-05,3.98e-05
